Ih	Iw	Ic	Kh	Kw	ru	GPU	CPU
17	17	160	1	7	0.18136189258312022	7.705353315788886	7.069374315789608
17	17	160	7	1	0.25255754475703324	7.870201210525127	7.039747842104903
17	17	768	1	1	0.3091208910034602	7.926738473684443	7.061250052631345
17	17	160	7	1	0.21446611253196932	6.609395157894189	7.0742348947373115
17	17	160	1	7	0.2597346547314578	6.873530789473205	7.229031000001011
17	17	160	7	1	0.22346547314578005	6.714006789473022	7.124107421051319
17	17	160	1	7	0.2960997442455243	6.62365931578946	7.060207526315684
17	17	768	1	1	0.6226886894463668	7.694051894737778	7.064075000000146
17	17	768	1	1	0.30009641724336794	6.843311421052153	7.12745857894809
17	17	768	1	1	0.30009641724336794	6.592350894736473	7.059277105264228
17	17	160	1	7	0.19250319693094628	6.526306368420209	7.0147257894731005
17	17	160	7	1	0.21825447570332482	7.30931989473872	6.984327789472906
17	17	768	1	1	0.30009641724336794	7.801452368423007	7.196062684208845
17	17	160	7	1	0.18945012787723786	6.845238684209077	7.526936947368618
17	17	160	1	7	0.22111572890025574	6.666570631580271	7.136915052631827
17	17	160	7	1	0.18724424552429667	6.599042526315801	7.090068368421199
17	17	160	1	7	0.2580882352941177	6.672742947370724	7.042053000000393
17	17	768	1	1	0.6068879757785467	7.694516052633335	7.06406310526045
17	17	768	1	1	0.2474679209919262	6.602838421052955	7.066808631576967
17	17	768	1	1	0.2474679209919262	6.845580421052719	7.166009631579809
17	17	192	1	7	0.12481351236146633	6.606315210526167	7.048892526314962
17	17	192	7	1	0.22904678175618073	7.759561526315014	7.0678075789480115
17	17	768	1	1	0.2474679209919262	7.905163052631051	7.050562157895743
17	17	192	7	1	0.15862105711849958	6.505706368421808	7.010838157893916
17	17	192	1	7	0.20847985933503838	7.899752947371266	7.272712263157569
17	17	192	7	1	0.17343350383631714	6.593299263161013	7.056141999999149
17	17	192	1	7	0.19858269394714406	6.5247377368416135	7.219971526314782
17	17	768	1	1	0.5948268094002307	7.088130684211155	7.269867210524694
17	17	768	1	1	0.12602274365628605	8.188658000002803	7.132256999998719
17	17	192	3	3	0.16962226066897348	6.537139894736524	6.988342157894959
17	17	768	1	1	0.12602274365628605	6.610168368419223	7.0943922105253945
17	17	192	1	7	0.22221334185848252	6.61731563158023	7.078842368420923
17	17	192	7	1	0.26110933503836314	6.604936000001478	7.075766684209839
17	17	192	3	3	0.24050245098039216	6.633075526317019	7.077006684210717
8	8	1280	1	1	0.35396728515625	6.547140000001742	6.993744684211235
8	8	1280	1	1	0.35396728515625	6.844550052630744	7.179448210526343
8	8	384	1	3	0.21302083333333333	6.633074105264457	7.097212105261825
8	8	384	3	1	0.21302083333333333	6.571985999999553	7.028167421053336
8	8	1280	1	1	0.35396728515625	6.5367713157910075	7.014250947368564
8	8	448	3	3	0.16484375	7.805587736841421	6.928514578946551
8	8	384	1	3	0.21901041666666668	7.836612684212547	6.945970473683803
8	8	384	3	1	0.21901041666666668	6.49074626315906	6.957498210527403
8	8	1280	1	1	0.69127197265625	6.551939052632119	7.004003052630848
8	8	2048	1	1	0.1142578125	6.940170105263938	7.226591473683261
8	8	2048	1	1	0.1142578125	7.686829210526687	7.013141684207892
8	8	384	1	3	0.06630859375	6.482740210525674	6.96090068420948
8	8	384	3	1	0.06630859375	6.468859526313808	6.931504157897076
8	8	2048	1	1	0.1142578125	7.423812631577227	6.97551547368167
8	8	448	3	3	0.11379464285714286	6.5587706842088185	7.026293105262856
8	8	384	1	3	0.209375	7.850351421053036	6.927044473685166
8	8	384	3	1	0.209375	7.634834210525816	7.019062105263473
8	8	2048	1	1	0.34130096435546875	8.119608894736828	7.188343157894762
299	299	3	3	3	1.0000	19.9694	20.4794
149	149	32	3	3	0.7689	9.8866	10.3175
147	147	32	3	3	0.5621	9.7148	10.2614
73	73	64	1	1	0.9545	7.3721	7.8530
73	73	80	3	3	0.6034	7.6364	8.0384
35	35	192	1	1	0.9289	6.7489	7.2309
35	35	192	1	1	0.9289	6.7266	7.1861
35	35	48	5	5	0.6008	6.7487	7.1517
35	35	192	1	1	0.9289	6.7845	7.2593
35	35	64	3	3	0.4996	6.7573	7.2304
35	35	96	3	3	0.3542	6.7542	7.2568
35	35	192	1	1	0.9726	6.7779	7.2434
35	35	256	1	1	0.5231	7.0408	7.3309
35	35	256	1	1	0.5231	6.7078	7.1485
35	35	48	5	5	0.5142	6.7618	7.2565
35	35	256	1	1	0.5231	6.6958	7.1548
35	35	64	3	3	0.5151	6.7212	7.1782
35	35	96	3	3	0.3839	6.7626	7.2379
35	35	256	1	1	0.7618	6.7913	7.2378
35	35	288	1	1	0.4784	7.1324	7.1898
35	35	288	1	1	0.4784	7.0292	7.3458
35	35	48	5	5	0.4082	6.7632	7.2207
35	35	288	1	1	0.4784	6.8032	7.2069
35	35	64	3	3	0.4808	6.7982	7.2294
35	35	96	3	3	0.3423	7.0589	7.6079
35	35	288	1	1	0.7668	6.7034	7.1693
35	35	288	3	3	0.3998	6.9047	8.6846
35	35	288	1	1	0.3998	6.7221	7.1998
35	35	64	3	3	0.3264	6.7183	7.1994
